ingredient_name,aliases,category,serving_size,direct_cognitive_benefits,indirect_cognitive_benefits,key_nutrients,mechanisms,calories,mind_diet,mediterranean_diet,dash_diet,anti_inflammatory,gut_health/microbiome_support,carbohydrates_gm,glycemic_index,glycemic_load,protein_gm,fiber_gm
Eggs,omelette,Eggs,2 large,"Eggs provide choline (in yolk), critical for acetylcholine neurotransmitter synthesis Ã¢ÂÂ important for memory. Some studies link higher choline intake to better cognitive performance. Though eggs themselves are not pre/probiotic, including eggs can support brain health nutritionally. Caution: egg yolkÃ¢ÂÂs choline can be metabolized by gut bacteria into TMAO (which in excess is linked to CVD), but one egg a day is generally safe and nutritious.","Nutrient-rich: contain high-quality protein, vitamin B12, selenium, and lutein/zeaxanthin (good for eyes). Contrary to past belief, moderate egg consumption (Ã¢ÂÂ¤1 per day) has minimal effect on blood cholesterol for most people and is linked to no increased heart disease risk in general populations. The protein and fat in eggs aid satiety and weight management. Also support muscle maintenance.","High-quality protein, choline, B vitamins, vitamin D, selenium, lutein, zeaxanthin, bioactive peptides","Muscle and brain health, eye health, antioxidant, immune support",25,yes,no,no,no,no,0.0,0.0,0,13.0,0.0
Farro,,Whole Grains,½ cup cooked / 1 slice bread (½ fist),"An ancient whole grain wheat, rich in fiber, which supports the gut microbiome and thus brain health. Farro provides slow-releasing carbs and B vitamins for brain energy. Diets high in whole grains like farro are associated with a lower risk of cognitive impairment, likely via improved vascular and metabolic health.","FarroÃ¢ÂÂs fiber and magnesium help improve insulin sensitivity and lower risk of type 2 diabetes. Contains lignans and antioxidants that contribute to lower systemic inflammation. Farro is also higher in protein than common wheat, aiding muscle maintenance. Including farro and other ancient grains diversifies the dietÃ¢ÂÂs nutrient profile (selenium, zinc) which supports immunity and heart health.","Fiber, protein, B vitamins, minerals, phenolic compounds","Antioxidant, heart health, digestive health",100,yes,yes,yes,no,prebiotic,37.5,45.0,46,12.0,6.0
Feta Cheese,,Soft/Semi-Soft FermentedCheese,1 cup,"Traditional Greek feta is brined and made from sheep/goat milk, often containing live lactic cultures if unpasteurized after fermentation. Some small probiotic effect in the gut (certain Lactobacilli can survive). No direct evidence for cognitive benefit, but as a part of Mediterranean diet (which includes feta), itÃ¢ÂÂs associated with better cognitive aging. Should be consumed in moderation due to salt.","Feta is lower in fat and calories than many aged cheeses. High in conjugated linoleic acid (CLA) which may have heart health benefits. Provides calcium, phosphorus, and B vitamins. Its strong flavor means a small amount goes a long way (helpful for flavor without excessive calories). The Mediterranean dietary pattern including feta has been linked to lower cardiovascular disease risk and improved metabolic outcomes.","Protein, calcium, B vitamins, bioactive peptides, minerals, probiotics (if fermented)","Bone health, muscle support, gut health, metabolic health",75,no,yes,no,no,probiotic;postbiotic,0.5,0.0,0,14.0,0.0
Figs,,Dried fruit,¼ cup (<cupped palm),"Figs (fresh or dried) are high in soluble fiber which nourishes gut bacteria and aids regularity. They also contain polyphenols. While not extensively studied for cognition, their nutrients (potassium, magnesium) support brain nerve signaling. Historically, figs were thought to increase stamina and brain strength. Fiber-rich diets with fruits like figs are linked to better cognitive outcomes.","Promote digestive health (often recommended for constipation due to fiber). Provide calcium and potassium, contributing to blood pressure control and bone health. Fig antioxidants (like ficin) and polyphenols can reduce triglycerides and liver fat, aiding metabolic health. Dried figs are concentrated in sugar, so portion control is advised for blood sugar management.","Polyphenols, flavonoids, fiber, minerals","Antioxidant, digestive health, metabolic health",37,yes,no,yes,yes,prebiotic,12.5,35.0,5,0.8,2.9
Flaxseeds,,Seeds,1 oz (small handful),"Concentrated source of alpha-linolenic acid (ALA) omega-3. Omega-3 fatty acids support cognitive health and may encourage a gut microbiome associated with lower inflammation. Flaxseed oil by itself isnÃ¢ÂÂt prebiotic, but adding it to the diet provides essential fatty acids that are precursors for DHA (important for the brain).","Lowers inflammation and has been shown to modestly reduce blood pressure. ALA from flax oil can help improve lipid profile (e.g. lower LDL). However, flax oil lacks the fiber of whole flaxseed. ItÃ¢ÂÂs best used cold (in dressings or smoothies) to preserve omega-3 integrity. Supports skin health as well.","Omega-3 fatty acids (ALA), protein, fiber, lignans, polyphenols, vitamins, minerals","Antioxidant, anti-inflammatory, heart health, digestive health",55,no,no,no,yes,prebiotic,2.5,0.0,0,18.0,27.0
Flounder,,Other Fish,3Ã¢ÂÂ4 oz cooked (palm size),"A lean fish with some omega-3 (though less than fatty fish). Provides protein and B12 for cognitive support. Not pre/probiotic, but including lean fish in place of red meat can improve vascular health and thus indirectly benefit brain perfusion. In Mediterranean-style patterns, regular fish (even lean fish) intake correlates with better cognitive outcomes than high red meat intake.","Good source of selenium (antioxidant mineral) and protein with virtually no saturated fat. Supports heart health by providing some omega-3 and replacing higher-fat proteins. Helps maintain muscle mass with age. Also contains vitamin D and iodine, supporting metabolic and thyroid health. Low mercury compared to bigger fish.","Protein/Essential AA; DHA, Linoleic Acid; Bioactive Peptides; Taurine","Brain, vision, anti-inflammatory, antioxidant, tissue repair, enzyme synthesis, metabolic health, Osmoregulation",90,yes,yes,yes,no,no,0.0,0.0,0,12.0,0.0
Garlic,,Spices,½Ã¢ÂÂ1 tsp,"Garlic is rich in fructooligosaccharides which are classic prebiotic fibers Ã¢ÂÂ they selectively promote beneficial gut bacteria (e.g., bifidobacteria). In animal studies, garlic supplementation countered age-related gut microbiota changes and improved memory. Allyl sulfide in garlic reduced neuroinflammation in mice, suggesting garlic can support cognitive health via the gut-brain axis.","Cardioprotective: garlic is well-known to modestly reduce blood pressure and improve cholesterol profiles (lower total and LDL cholesterol). It has anti-thrombotic properties (reducing platelet aggregation) and strong anti-microbial effects. Regular garlic intake is associated with lower risk of certain cancers (e.g., colorectal) and reduced common cold incidence due to immune-boosting sulfur compounds.","sulfur compounds, allicin, vitamins C and B6, manganese, selenium","antioxidant, anti-inflammatory, supports immune function, may improve vascular health",98,,,,,prebiotic,1.5,15.0,0.5,6.0,2.1
Golgi Berries,"berries, berry",Berries,½ cup (cupped palm),Goji berries contain fiber and unique compounds like polysaccharides that act as prebiotics and immune modulators. Some evidence suggests goji berry consumption can improve well-being and possibly mental performance (in traditional medicine they are brain tonics). They also have zeaxanthin which protects eyes and possibly cognitive function.,"Noted for anti-aging effects in Chinese medicine. Studies show goji intake can increase metabolic rate, improve HDL, and reduce waist circumference. Polysaccharides from goji berries have antioxidant and anti-inflammatory effects, supporting immune function. They may also help improve sleep and calmness (as reported in small human studies). As a dried fruit, watch for any added sugar in packaged products.","Polysaccharides, carotenoids, flavonoids, vitamin C","Antioxidant, immune support, eye health",90,yes,yes,no,yes,prebiotic,17.5,25.0,5,14.0,13.0
Gooseberries,"berries, berry",Berries,½ cup (cupped palm),"Dried gooseberries (often sweetened in some cuisines) still contain fiber and tannins. They offer similar gut benefits to fresh, though vitamin C may be reduced by drying. Some traditional formulas use dried amla for cognitive vitality. Still a good source of antioxidants for brain health if unsweetened.","Provide concentrated antioxidants. In Ayurvedic medicine, dried amla is used as a rejuvenator. It can aid digestion and has mild laxative effect due to fiber. Dried gooseberries can help regulate cholesterol and blood sugar (as seen with amla supplements). Ensure minimal sugar added to maximize benefits.","Polyphenols, vitamin C, fiber, minerals","Antioxidant, anti-inflammatory, digestive health",30,yes,yes,no,yes,prebiotic,8.5,25.0,3,1.0,4.3
Gooseberries (Dried),dried gooseberries,Dried fruit,¼ cup (<cupped palm),Gooseberries (such as amla in Ayurveda) are high in fiber and extremely high in vitamin C and polyphenols. They support gut health and have been noted to enhance memory and nerve function in traditional use. Amla (Indian gooseberry) in particular has shown to improve cognition in animal studies via antioxidant effects in the brain.,Extremely high vitamin C content boosts immunity and collagen production. Gooseberries have been shown to lower blood sugar and cholesterol in human trials (amla powder lowered LDL and fasting glucose). They possess anti-inflammatory and liver-protective properties. Also beneficial for skin and hair health due to their antioxidant profile.,"Polyphenols, vitamin C, fiber, minerals","Antioxidant, anti-inflammatory, digestive health",100,yes,yes,no,yes,prebiotic,22.5,5.0,1.5,3.0,8.0
Gouda Cheese,,Aged/Hard Fermented Cheese,1 cup,"Gouda, especially when aged, is notable for containing Vitamin KÃ¢ÂÂ due to bacterial fermentation. KÃ¢ÂÂ supports brain vascular health by preventing calcification. While Gouda offers calcium and probiotics (if raw milk Gouda, it may harbor some live bacteria), itÃ¢ÂÂs still a high-saturated-fat food without direct evidence of cognitive improvement. Moderation is key.","Provides significant calcium and protein. Vitamin KÃ¢ÂÂ in Gouda supports bone health and may protect arteries. Some aged Goudas contain probiotic Bacillus or Lactococcus that can survive ingestion to a degree, possibly improving gut health. However, like other cheeses, consumption should be moderate to avoid raising LDL cholesterol.","Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support",100,no,yes,no,,probiotic;postbiotic,0.5,0.0,0,25.0,0.0
Grapefruit,,Fruit,1 medium,"Grapefruit is high in vitamin C and naringenin (a flavonoid). Naringenin has been shown to have neuroprotective effects in animal studies and can modulate gut microbiota favorably. The fruitÃ¢ÂÂs fiber and polyphenols support a healthy gut, and observational studies have linked higher citrus intake to better cognitive performance in older adults (though grapefruit can interact with medications).",Grapefruit helps improve lipid profiles Ã¢ÂÂ regular intake is associated with lower triglycerides and weight loss in some trials (red grapefruit lowered cholesterol). Rich in vitamin C and potassium for heart health. Caution: grapefruit can inhibit certain drug metabolism. Its antioxidants have anti-inflammatory effects and may improve arterial function.,"Vitamin C, flavonoids, carotenoids, dietary fiber, essential oils","Antioxidant, immune support, anti-inflammatory",50,yes,yes,yes,yes,prebiotic,12.5,25.0,3,0.8,1.1
Grapes,,Berries,½ cup (cupped palm),"Grapes (especially red/purple) contain resveratrol and other polyphenols that beneficially modulate gut bacteria and improve vascular function. In small clinical trials, grape supplements improved memory in older adults with mild cognitive decline, likely via enhanced cerebral blood flow. The fiber in whole grapes is modest, but still supports gut health to a degree.","Regular grape consumption is associated with lower risk of hypertension (especially when replacing sweets with grapes). Resveratrol in grape skins improves endothelial function and has anti-aging effects at the cellular level. GrapesÃ¢ÂÂ antioxidants reduce oxidative stress and may improve insulin sensitivity. However, they are relatively high in natural sugars, so portion control helps, or choose wine in moderation for concentrated polyphenols (if appropriate).","Polyphenols, flavonoids, resveratrol, vitamin C, fiber","Antioxidant, heart health, anti-inflammatory",55,yes,yes,yes,yes,prebiotic,17.5,59.0,11,0.7,0.9
Green Peas,,Legumes,½ cup cooked (small fist),"Green peas are rich in soluble and insoluble fiber, which promote a healthy gut microbiome. They also provide proteins and vitamins (like B6 and folate) supporting neurotransmitter synthesis. Diets including legumes and peas have been associated with better cognitive performance in aging, possibly due to improved vascular and metabolic health.","Peas help improve blood sugar control thanks to fiber and protein. They have a low GI and can reduce post-meal glucose spikes. Also contain lutein and zeaxanthin for eye health, which is linked to cognitive health. Provide plant protein for muscle maintenance and iron for preventing anemia. Their soluble fiber aids in lowering LDL cholesterol.","Protein, fiber, complex carbs, flavonoids, minerals","Antioxidant, digestive health, low glycemic index",60,yes,no,yes,yes,prebiotic,12.5,48.0,5,5.0,5.0
Green Tea,,Green Tea,8 oz,"Green tea catechins act as prebiotics, selectively boosting beneficial gut microbes. Habitual green tea consumption is associated with a lower risk of cognitive decline and dementia; one study found that daily matcha green tea improved cognitive function in older adults and beneficially altered gut microbiota. L-theanine and caffeine in green tea also synergistically enhance attention and calm focus.","Strong evidence for cardiovascular benefits: green tea intake correlates with reduced risk of stroke and coronary disease. Lowers LDL and blood pressure slightly. Potent anti-cancer properties have been noted in epidemiological studies (especially for breast and prostate cancer). Improves metabolic rate and fat oxidation, aiding weight management. Also supports liver health (may reduce fatty liver).","Catechins (EGCG), polyphenols, caffeine, theanine, flavonoids","Antioxidant, anti-inflammatory, metabolic health, neuroprotection",,no,no,no,yes,prebiotic,0.0,0.0,0,0.0,0.0
"Grits (whole grain, cooked)",grits,Corn,1 cup,"Whole-grain grits (made from whole hominy or coarse whole corn) provide some resistant starch and fiber if not overly processed. That fiber feeds gut bacteria. While traditional Southern grits are often refined, opting for whole-grain versions supports gut health and steady glucose for the brain. Not a standout cognitive food, but part of a whole-grain intake associated with cognitive benefits.","Whole-grain corn grits deliver B-vitamins and are typically fortified with folic acid, beneficial for preventing homocysteine buildup (linked to heart disease). If made from nixtamalized corn, they provide bioavailable niacin. Eating whole-grain corn products can help with satiety and weight control. Keep preparation healthy (limit butter/cream) to maintain heart benefits.","complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",70,yes,yes,no,yes,prebiotic,22.5,65.0,0,1.5,1.5
Gruyere Cheese,,Aged/Hard Fermented Cheese,1 cup,"A type of Swiss cheese, fermented by Propionibacteria which produce propionic acid (a short-chain fatty acid). GruyÃÂ¨re contains minimal lactose and possibly some residual bacterial metabolites beneficial for gut health (propionate from cheese fermentation may have colon health benefits). Not directly linked to cognitive benefits; like other cheeses, should be limited for brain-heart health due to saturated fat.","Rich in calcium and phosphorus for bone health; also provides vitamin A and B12. Propionibacteria in Swiss-type cheeses produce vitamin B12 and propionate, which in the gut can serve as an energy source for colon cells. Swiss cheese consumption in moderation hasnÃ¢ÂÂt been associated with the same cardiovascular risk as butter, possibly due to calcium content binding fats and the probiotic factor. Still, high sodium and fat content mean small portions are advisable.","Protein, calcium, B vitamins, bioactive peptides (antihypertensive, antioxidant, antimicrobial), vitamin K2 (notably in aged/fermented types), minerals","Bone health, muscle support, blood pressure regulation, cardiovascular health, immune support",115,no,yes,no,,probiotic;postbiotic,0.5,0.0,0,30.0,0.0
Hazelnuts,,Nuts,1 oz (small handful),"Hazelnuts contain fiber and polyphenols (especially in the skin) that feed gut microbes. They are also rich in vitamin E, folate, and arginine, all supportive of brain health. Including hazelnuts in the diet improves overall diet quality; one study found older adults who ate nuts (including hazelnuts) had better cognitive scores.","Hazelnuts significantly improve antioxidant capacity in the body Ã¢ÂÂ regular consumption raises vitamin E levels, which protect LDL from oxidation. Studies show hazelnuts can lower LDL and total cholesterol and improve endothelial function (due to their high MUFA and arginine content). They also provide magnesium and potassium, aiding blood pressure control.","Protein, fiber, MUFA, polyphenols, carotenoids, phytosterols","Antioxidant, cholesterol-lowering, metabolic health",180,yes,yes,yes,yes,prebiotic,4.5,15.0,0,15.0,10.0
Heirloom Corn,,Corn,1 cup,"Heritage varieties of corn (blue, red, purple corn, etc.) often have higher polyphenol content than modern yellow corn. These polyphenols (anthocyanins, phenolics) plus fiber act as prebiotics and antioxidants. Diets using whole heirloom corn (e.g., in traditional Latin American dishes) have been linked to metabolic health which supports cognitive health.","Typically less processed and more nutritious than hybridized sweet corn. Provides fiber for heart health and unique antioxidants that can reduce inflammation. For example, purple corn has been shown to reduce blood pressure and improve insulin sensitivity in animal studies. When used in whole form (masa, porridge), contributes to whole-grain intake which lowers risk of CVD and type 2 diabetes.","complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",90,yes,yes,no,no,prebiotic,22.5,55.0,50,9.0,7.0
Herring,,Fatty Fish,3Ã¢ÂÂ4 oz,"Herring is a fatty fish loaded with omega-3 DHA and EPA. DHA is crucial for brain structure and function; higher omega-3 status is associated with better cognitive aging and a lower risk of AlzheimerÃ¢ÂÂs. Additionally, fermented herring (pickled) can introduce probiotics (though often pickled in vinegar which kills bacteria). Mainly, herringÃ¢ÂÂs omega-3s increase production of anti-inflammatory metabolites in the gut and brain.","Herring offers cardioprotective benefits Ã¢ÂÂ it can raise HDL and lower triglycerides substantially due to omega-3 content. ItÃ¢ÂÂs also a top source of vitamin D and B12, supporting bone health and energy metabolism. If pickled in traditional ways, can be high in sodium, but otherwise fresh/smoked herring is very heart-healthy. Regular consumption of oily fish like herring is associated with 36% reduction in cardiac death.","protein, omega-3 fatty acids, vitamin D, B12, selenium","supports cardiovascular and brain health, reduces inflammation, provides essential nutrients for metabolism",180,yes,yes,yes,no,no,0.0,0.0,0,18.0,0.0
Hominy Corn,,Corn,1 cup,"Hominy is corn treated with lime (nixtamalization), which improves its nutrient availability (more B3, calcium). As a whole kernel, hominy has fiber that supports gut microbes. ItÃ¢ÂÂs a component of traditional diets (like in pozole) that have sustained cognitive health historically, but direct evidence is sparse. Still, as a whole grain, it contributes to the fiber-cognition link.","Nixtamalized corn has a lower glycemic index than refined cornmeal and provides calcium from the lime. It is also easier to digest. Hominy-based diets historically show lower pellagra incidence due to increased niacin. In moderation, hominy can be part of a heart-healthy diet; itÃ¢ÂÂs usually canned with salt, so rinse to reduce sodium. Overall contributes to whole-grain intake beneficial for heart and metabolic health.","complex carbohydrates, fiber, some carotenoids (lutein, zeaxanthin), and B vitamins","Fiber and micronutrients may support vascular and metabolic health, indirectly benefiting cognition",60,yes,yes,no,no,prebiotic,12.5,55.0,50,1.5,2.7
Honey,,Sweetener,1 - 2 tbsp,"Honey is not a prebiotic fiber, but it contains oligosaccharides and polyphenols that can modulate gut bacteria (some studies show honey encourages Lactobacillus and Bifidobacteria). Certain raw honeys also contain probiotic bacteria. In one small trial, daily honey improved aspects of memory in postmenopausal women compared to hormone therapy. Antioxidants in honey might reduce oxidative brain stress.","Natural anti-microbial and anti-inflammatory properties. Honey can soothe coughs and is easier on blood sugar than refined sugar (slightly lower glycemic due to fructose content). Rich in antioxidant compounds (especially darker honeys) which contribute to reduced risk of metabolic syndrome. However, itÃ¢ÂÂs still an added sugar Ã¢ÂÂ excessive use can raise triglycerides and blood sugar. Best as a sugar replacement in moderation.","Complex carbohydrates, fiber, Vitamin C, B vitamins, minerals, polyphenols","Antioxidant, antimicrobial, anti-inflammatory, wound healing, digestive health",275,no,no,no,no,prebiotic,17.5,60.0,13,0.0,0.0
Horseradish,,Spices,1 - 2 tbsp,"True wasabi contains ITCs (isothiocyanates) similar to those in cruciferous veggies, which have antimicrobial and anti-inflammatory properties. ItÃ¢ÂÂs eaten in tiny amounts as a condiment with sushi, so its impact is more sensory (clearing sinuses etc.) than nutritional. Not a prebiotic or probiotic, but it may transiently stimulate gastric secretion and possibly gut motility. No direct evidence for cognitive enhancement; any such claim would be anecdotal (like Ã¢ÂÂit wakes you upÃ¢ÂÂ due to its intense pungency).","Potent anti-microbial: wasabi can kill H. pylori in lab studies and reduce foodborne bacteria (hence its traditional pairing with raw fish). It contains compounds that may inhibit platelet aggregation (so potentially blood-thinning in effect). Also has anti-inflammatory effects in test tubes Ã¢ÂÂ one compound suppressed cyclooxygenase similar to NSAIDs. But again, amounts eaten are very small. Most Ã¢ÂÂwasabiÃ¢ÂÂ in stores is actually mustard+horseradish+green dye, which have similar though lesser ITC content. Enjoying wasabi might allow one to eat more anti-inflammatory fish (sushi) by adding flavor, indirectly benefiting health.","Complex carbohydrates, fiber, Vitamin C, B vitamins, minerals, polyphenols","Antioxidant, antimicrobial, anti-inflammatory, wound healing, digestive health",6,no,no,no,no,no,1.5,0.5,0.5,1.2,3.3
Kale,salad,Green Leafy Vegetables,1 cup raw / ½ cup cooked (1 handful),"Kale is among the most nutrient-dense greens. It supplies fiber for gut health and is extremely high in lutein, vitamin K, and other brain-critical nutrients. Daily consumption of kale or similar greens is strongly associated with slower cognitive decline (older adults eating 1 serving/day had memory equivalent to those much younger). Fiber and polyphenols in kale support a diverse microbiome, which correlates with better brain aging.",Improves cardiovascular health: kale can lower LDL cholesterol (its bile-acid-binding fibers help excrete cholesterol) and improve antioxidant status. Rich in potassium and nitrates to help blood pressure. Contains compounds like sulforaphane (when raw) that have anti-cancer effects. Also supplies calcium and magnesium for bone and muscle function. Truly a Ã¢ÂÂsuperfoodÃ¢ÂÂ vegetable for metabolic and heart health.,"Vitamin K (phylloquinone), lutein, folate, nitrate, ÃÂ±-tocopherol, kaempferol, ÃÂ²-carotene","Antioxidant, anti-inflammatory, improves vascular and cognitive function",35,yes,yes,yes,yes,prebiotic,2.5,15.0,0.4,3.3,4.1
Kefir,,Kefir,1 cup,"Fermented milk drink teeming with live probiotic cultures (Lactobacillus, Bifidobacterium, yeasts). Kefir consumption has been shown to improve the composition of gut microbiota and increase production of neuroactive compounds like GABA. In a small study of older adults, 12 weeks of kefir improved cognitive flexibility and reduced anxiety, likely via gut-brain axis modulation.","Kefir can improve lactose digestion (its bacteria produce lactase) and overall gut function. Clinically, kefir has lowered inflammation markers and improved cholesterol levels (due to fermentation byproducts). It may also modestly lower blood pressure. Contains bioactive peptides that act as ACE inhibitors (blood-pressure lowering). Also a good source of calcium, protein, and B12. Benefits immunity by enhancing gut barrier and producing antimicrobial compounds.","Protein, calcium, B vitamins, probiotics, bioactive peptides, minerals, vitamin D (if fortified)","Gut health, immune support, metabolic health, antihypertensive, antioxidant",100,no,no,no,yes,prebiotic;probiotic;postbiotic,6.0,32.0,30,3.5,0.0
Kidney Beans,,Beans,½ cup cooked (small fist),"High in fiber (especially resistant starch) and polyphenols (red skins). These support a healthy gut microbiome, which is linked to better cognitive health. Rich in B vitamins (folate) important for brain development and maintenance. Populations consuming more legumes including kidney beans have lower rates of AlzheimerÃ¢ÂÂs (possibly due to vascular risk reduction).","Strongly improve metabolic health: regular bean intake lowers HbA1c in diabetics and helps in weight management by increasing satiety. Kidney beans specifically can reduce cholesterol (soluble fiber sequesters bile acids). They also provide iron and folate, combating anemia and high homocysteine (a cardiovascular risk factor). The deep color indicates high antioxidants, which combat inflammation.","Protein, fiber, flavonoids, minerals, polyphenols","Antioxidant, anti-obesity, digestive health",110,yes,yes,yes,yes,prebiotic,22.5,28.0,7,24.0,25.0
Kimchi,salad,Fermented Vegetable,1 cup,"Kiwifruit contains actinidin (an enzyme) and a good amount of soluble fiber that function as prebiotics, fostering a favorable gut microbiome. Eating 2 kiwis a day has been shown to improve digestion and possibly mood (from better serotonin production via gut). High vitamin C and serotonin content in kiwi fruit may positively affect neurotransmitter levels and cognitive function (some evidence for improved memory recall with high vitamin C status).","Kiwis significantly aid digestion and relieve constipation (as shown in IBS patients). Extremely high vitamin C boosts immune function and reduces blood oxidative stress. Also shown to lower blood pressure and improve lipid profiles slightly. Green kiwifruit intake improved endothelial function in studies, and the lutein and zeaxanthin support eye health. Low calorie and low GI, making them good for diabetics.","Lactic acid, phenolics, GABA, probiotics","Antioxidant, anti-inflammatory, gut microbiota modulation",20,yes,yes,yes,yes,prebiotic;probiotic;postbiotic,1.5,15.0,1,1.1,2.4
Kiwis,,Berries,1 Medium,Nutrients may support brain health,"Antioxidant/anti-inflammatory effects, gut-brain axis support","Vitamin C, fiber, polyphenols, minerals","Antioxidant, immune support, digestive health",42,yes,no,yes,yes,prebiotic,12.5,50.0,7,1.1,3.0
Kombucha (Unsweetened),kombucha,Kombucha,8 oz,"Kombucha is fermented tea containing a variety of live probiotic cultures (Acetobacter, Saccharomyces, etc.). While human data are limited, kombucha can introduce beneficial microbes and organic acids to the gut, potentially enhancing gut-brain signaling. Animal studies suggest kombucha intake can reduce anxiety and depression-like behaviors via gut microbial modulation.","Kombucha provides antioxidants from tea and additional organic acids (gluconic, acetic) that can aid liver detoxification. It has mild antimicrobial properties against pathogens. May improve cholesterol levels and blood sugar control (though watch out for added sugars in some preparations). Contains B vitamins produced by yeasts. Ensure itÃ¢ÂÂs properly fermented to avoid contamination. Best consumed in moderation due to acidity and residual sugar.","Polyphenols, organic acids, probiotics, B vitamins, caffeine (if tea-based)","Antioxidant, anti-inflammatory, gut health, metabolic health",160,no,no,no,no,probiotic;postbiotic,1.5,15.0,1,0.0,0.0
Krill Oil,,Oils,2-4 tbsp,"Krill oil improves learning, memory, and cognitive function in animal models of AlzheimerÃ¢ÂÂs disease, diabetes, aging, and drug-induced impairment. Mechanisms include reducing amyloid-beta accumulation, inhibiting neuroinflammation, decreasing oxidative stress, preventing neuronal apoptosis, enhancing synaptic plasticity, and upregulating neuroprotective genes and proteins (e.g., BDNF, CREB, PKCÃÂ¶, PSD-95). Krill oil also modulates the gut-brain axis and improves blood-brain barrier function. Some studies show antidepressant-like effects and protection of dopaminergic neurons.","Indirect benefits arise from krill oilÃ¢ÂÂs rich content of omega-3 fatty acids (EPA, DHA), phospholipids, and astaxanthin, which support cardiovascular and metabolic health, reduce systemic inflammation, and improve lipid profiles. These effects may lower risk factors for cognitive decline. Krill oilÃ¢ÂÂs antioxidant and anti-inflammatory properties may help prevent neurodegenerative processes associated with aging, high-fat diets, and chronic diseases. Enhanced bioavailability of its nutrients may offer advantages over other marine oils.","EPA, DHA (omega-3 PUFAs), antioxidants","Cognitive health, neuroprotection. heart health, anti-inflammatory, antioxidant",230,no,no,no,no,no,0.0,0.0,0,0.0,0.0
Lamb,,Meat,3Ã¢ÂÂ4 oz,"Regular lamb consumption is associated with improved long-term cognitive outcomes, such as better fluid intelligence and reduced risk of cognitive decline in adults. In animal studies, optimal intake of essential fatty acids (like DHA and EPA) from lamb or maternal diet during gestation and early life supports neurological and cognitive development, enhances learning and memory, and improves executive function. Supplementation with choline during gestation can also mitigate cognitive deficits caused by prenatal stress or alcohol exposure.","Lamb provides key nutrients (omega-3 and omega-6 fatty acids, choline, high-quality protein) that support brain health and development. These nutrients may help reduce risk factors for cognitive decline, such as cardiovascular disease and metabolic disorders. Positive emotional states and reduced stress in lambs, influenced by nutrition and environment, are linked to better cognitive performance. In humans, lamb is part of dietary patterns associated with healthy aging and cognitive resilience.","Protein, iron, zinc, B12, selenium, omega-3 fatty acids",Iron and B12 support myelination and neurotransmitter function; zinc aids synaptic plasticity; selenium and omega-3s reduce oxidative stress,,,,,,no,0.0,0.0,0,25.0,0.0
Lemon,,Fruit,1 medium,"Lemons have soluble fiber (pectin, in the pulp) and polyphenols (e.g., eriocitrin) that can support gut bacteria. While the juice itself has minimal fiber, the citrus polyphenols may modulate the microbiome. Vitamin C in lemons supports collagen in blood vessels (important for brain blood flow). Inhaling citrus aroma is even studied for cognitive benefits (mood/alertness).","Lemons are alkalinizing (post-metabolically) and support liver function. High vitamin C boosts immune health and skin integrity. The flavonoids in lemon have been shown to lower blood pressure and have anti-inflammatory effects. They can aid iron absorption from foods, improving anemia. Using lemon instead of salt for flavor can help reduce sodium intake, benefiting blood pressure.","Vitamin C, flavonoids, carotenoids, dietary fiber, essential oils","Antioxidant, immune support, anti-inflammatory",yes,yes,yes,yes,yes,prebiotic,2.5,20.0,0.4,1.0,2.8
Lentil Pasta,,Pasta,1 cup,"Pasta made from lentil flour retains the legumeÃ¢ÂÂs fiber and protein, acting as a prebiotic and leading to a lower glycemic response. This contributes to more stable cognitive function post-meal (avoiding sugar spikes/crashes). By feeding gut bacteria and providing iron and folate, it supports the gut-brain axis and cognitive health similarly to whole lentils.","Lentil pasta significantly increases satiety compared to wheat pasta, aiding in weight control. It helps lower overall carb load while boosting fiber and plant protein intake. Great for those with gluten intolerance. Benefits cholesterol and blood sugar control by virtue of legume composition. Also provides essential minerals like iron and zinc in a more palatable form for some.","Folate, Iron, Phosphorus, Manganese, Potassium, Magnesium","High in plant protein and complex carbs; supports glucose stability, reducing glycemic variabilityÃ¢ÂÂa key factor in cognitive health. Rich in polyphenols and prebiotic fibers that support neuroinflammation modulation and microbiome-brain axis.",yes,yes,yes,yes,yes,prebiotic,32.5,0.0,28,20.0,8.0
